brand_name,ratings,discount_pct,popularity_score
7 For All Mankind,4.230769230769231,0.4538461538461539,13.462991913838644
7OUNCE,4.3,0.5566666666666666,23.992838251740753
AD By Arvind,3.9934959349593493,0.38715447154471544,14.19887415115217
ADBUCKS,3.9125,14.0,14.055753293876805
ADIDAS Originals,4.1,0.35,9.977016057675298
AFLASH,3.9707317073170727,25.54390243902439,12.175559074000411
ALCOTT,4.066666666666666,0.4466666666666667,16.484428701054377
ALTINYILDIZ CLASSICS AC Co.,4.133333333333333,0.5,11.881278866433787
ALTIVA,4.2625,0.68,12.608689444981309
AMERICAN EAGLE OUTFITTERS,4.140754716981132,0.34713207547169816,14.294092502208724
AMSWAN,4.025806451612903,0.6,17.148291103446052
ANGERHOOD,3.8078125,24.27,11.855215962767979
ANTHEM,4.2,0.56,18.65913527725933
ARBIA FUNKI,3.8333333333333335,0.5777777777777777,11.538303831681496
ARISTOBRAT,4.3,0.49,23.992838251740753
ARTLESS,4.2,0.1,15.797040485912962
ASHTOM,4.025,20.15125,12.664627130340822
AVVA,4.041666666666667,0.48333333333333334,14.154454378273693
AWACK,4.074698795180723,0.27060240963855425,15.949565666699618
Aeropostale,4.101550387596899,0.5931782945736433,12.57766578474882
Albion By CnM,4.2,0.25,20.475828757444837
Allen Cooper,3.8419354838709676,0.6529032258064515,11.982757818013749
Allen Solly,4.089130434782609,0.46356521739130435,14.188470868033196
Allen Solly Sport,3.975324675324676,0.44649350649350655,12.590875118001488
American Archer,4.283333333333333,0.6999999999999998,11.620729141507134
Andamen,3.9741935483870967,0.46741935483870967,13.61597936392992
AngelFab,3.8047619047619046,0.79,10.34472348332385
Antony Morato,3.8537037037037036,1.3753703703703704,13.00234166856872
Arrow New York,3.7722222222222226,0.45499999999999996,14.573279315515542
Arrow Sport,3.9673469387755103,0.48653061224489796,12.325374809309073
Ashtag,4.0,16.21,20.636221196858116
BAESD,3.8,0.7463636363636365,10.679917310911316
BAWSE.,4.8,0.5,9.340368715465504
BEAT LONDON by PEPE JEANS,4.068888888888889,7.660444444444444,16.61660776426189
BEVDAAS,4.0825000000000005,37.7275,14.777410169864746
BIG HELLO,3.9,0.5599999999999999,11.630205740238438
BLUEBIRD,3.96,0.1,15.959927451347827
BOMBAY TROOPER,3.9,0.38,13.516370020918933
BOTABOCHI,4.0,0.5,12.401398814279133
BOYCOTT,4.2125,0.4,20.330606410290343
BRAVE SOUL,3.911538461538462,0.5126923076923077,14.26647655952985
BREXX,4.5,0.44499999999999995,15.869682482738227
BUNCH OF BAD,4.1,0.2,13.74742924347432
BUZZIC FASHION UNLIMITED,4.0475,0.45625,14.11173255371599
Banana Club,4.039873417721519,0.5675949367088607,13.84604528464355
Basics,3.9482758620689653,0.4566666666666666,14.913872473425293
Being Human,4.030257510729614,0.5639055793991415,13.474835032571125
Belliskey,3.930769230769231,0.6207692307692307,10.860196650762479
Ben Martin,3.935483870967742,0.6445161290322581,12.041956954107402
Bene Kleed,3.877439024390244,0.6496341463414634,14.797091626506347
Berkshire,4.022222222222222,0.6,11.856763155612771
Beverly Hills Polo Club,3.9625,0.3825,15.30920365132808
Bewakoof,3.9974358974358974,15.235897435897437,14.040492630641834
Bewakoof Plus,4.475,22.375,9.673726141225156
Beyoung,3.9733333333333336,0.5693333333333334,13.304306641238517
Big Hello - The Plus Life,3.996153846153846,0.33692307692307694,12.819951541932936
Blackberrys,4.055813953488372,0.581046511627907,13.672280386193988
Blue Buddha,3.8736842105263154,0.4231578947368422,16.01396540247912
Bluejam,4.022222222222222,15.100000000000001,14.78711929774884
Bossini,4.025,0.4625,11.923436202061634
Breakbounce,3.9,0.49,19.7193586408584
British Club,4.066666666666666,0.65,17.622178511806812
Bruun & Stengade,4.2,0.6,20.475828757444837
BuaGi Collection,3.9699999999999998,0.605,12.124951732017248
Burton,3.75,0.48,14.31548576771607
Bushirt,3.6769230769230767,0.6684615384615384,8.951392401368242
CAMLA,4.007843137254902,0.48980392156862745,11.71816177174412
CANOE,4.1,0.3,11.059245604707243
CAVALLO by Linen Club,4.0181818181818185,13.736363636363636,13.982084603555224
CINOCCI,3.9377049180327868,0.5245901639344263,12.706415440504564
CLUBROCKS,3.995833333333333,0.5908333333333333,15.352368756495142
COBB,4.06875,0.6,14.115006599494908
COLOR HUNT,4.3,0.6785714285714286,17.138944038720542
COMFITS,4.032310838445808,8.790102249488752,15.332720233170033
COSMIC,4.0475,0.6045,14.651574556812989
CS LIFE,3.783333333333333,0.6833333333333332,11.850060497670258
Calvin Klein,3.966666666666667,0.4206666666666667,12.989636711722357
Calvin Klein Jeans,4.0434915773353755,2.212924961715161,15.91667795538094
Campus Sutra,3.7372623574144486,0.6439923954372624,13.931092832588034
Canary London,3.9710526315789476,0.6782894736842104,13.05664858281108
Cantabil,4.030246913580247,0.753179012345679,13.413053312126536
Celio,4.0359375,0.5006640625000001,12.855544673715068
Chapter 2,4.1,0.6,19.59440632175727
Chennis,3.8666666666666663,0.36666666666666664,12.521089824693476
Cherokee,3.3,0.55,23.908307102912122
Classic Polo,3.8444444444444446,0.11222222222222222,15.324623617602413
Cloak & Decker by Monte Carlo,4.2,0.45,7.525389770757831
Club York,3.7285714285714286,0.6978571428571428,13.216260868298848
Code 61,3.869230769230769,3.512307692307692,14.774050005465982
ColorPlus,3.9204545454545454,0.45272727272727276,12.411861621009786
Colors and Blends,4.6,30.0,8.242093558449053
Colt,4.0,0.6,16.635532333438686
ComfyStyle,3.9446601941747574,0.5509708737864077,13.71480603861494
